SYS,SUB,MEA,TYP
CHP,ADD,AIR,ALA
AIC,AGG,AMP,BAD
AID,AGI,ANG,BOL
AHU,AGT,ARE,BRU
ASM,AIR,BAR,CAL
AUT,AIO,BAT,COD
BIO,AIC,CAP,CTR
BIR,AID,CO2,DAT
BLM,AHU,COD,DIF
BOI,ALA,COI,DUR
BUP,ATF,CON,FCT
CAW,ASM,CUN,GOO
CAM,AUT,CYC,ITG
CAP,BAT,DEN,HOU
CEE,BED,DIA,MAX
CEN,BIO,DIL,MIN
CHI,BLM,DIR,MOD
CHC,BOI,DOX,NET
CHM,BUF,ENE,NUM
CLA,CAP,FAC,OUT
CIP,CAM,FLO,QUA
CSG,CO2,FOM,RAT
COA,CEE,FOR,RUN
OWD,CEL,FRE,SET
COM,CEN,HGT,STA
CAD,CHA,HUM,STO
CON,CBR,INT,TAR
CLS,CHI,IST,UNI
COV,CHO,LEV,UNN
CYC,CHC,MEA,
DEP,CHM,MES,
DIA,CLA,OXY,
DIU,CLE,PAU,
DIS,COA,PCT,
DSS,CMN,PHA,
STD,COO,PHZ,
DYI,COM,PRE,
EVM,CON,PRO,
FIM,COD,QUA,
FMI,CTC,RAT,
FBD,COL,RCZ,
FBG,CNV,RQZ,
FOR,COV,SPE,
FRN,CNT,STA,
FRD,CRO,STN,
HAR,CYC,TAR,
HEA,DEC,TEM,
HSM,DEH,TES,
INC,DEP,TIM,
INL,DEE,TOC,
INM,DIA,TRA,
LAM,DIL,USE,
LWD,DIS,VIA,
LVS,DSS,VCD,
MVB,STD,VOL,
MVG,DRA,WEI,
MIR,DYI,,
NES,EJE,,
NID,ELE,,
PAL,EVA,,
PAW,YIC,,
PHA,EXP,,
PEC,FEE,,
PSG,FMI,,
PUD,FIM,,
PUP,FIL,,
STE,FRC,,
TAP,FBD,,
TAN,FBG,,
TRW,FLU,,
UNH,FOR,,
VAC,FRD,,
VIN,FRI,,
VIF,FUM,,
VII,GAS,,
WAM,GLY,,
WAC,GRO,,
WAT,HAR,,
WFP,HEA,,
WFD,HEL,,
,HSM,,
,HLD,,
,HUA,,
,HUI,,
,H2O,,
,INC,,
,IUB,,
,IND,,
,INL,,
,INO,,
,INM,,
,LAM,,
,LEN,,
,LWD,,
,LOA,,
,LOO,,
,MFM,,
,MEM,,
,MED,,
,MIC,,
,MIX,,
,MOT,,
,OUT,,
,OVE,,
,PAL,,
,PER,,
,PHI,,
,PHA,,
,JRC,,
,PEC,,
,PHT,,
,PRE,,
,PPE,,
,PRO,,
,PRM,,
,PSG,,
,PUM,,
,PUD,,
,PUP,,
,RAT,,
,REC,,
,RFR,,
,REF,,
,REJ,,
,REP,,
,RET,,
,ROC,,
,ROO,,
,ROT,,
,SAL,,
,SAN,,
,SCR,,
,SEA,,
,SEE,,
,SEN,,
,SHA,,
,SOA,,
,SPG,,
,SPE,,
,SRC,,
,SPI,,
,SPA,,
,STE,,
,STI,,
,STO,,
,SUL,,
,SUP,,
,TAP,,
,TAN,,
,PTM,,
,THA,,
,TOA,,
,TRY,,
,VAL,,
,VEN,,
,VES,,
,VIE,,
,VIF,,
,VII,,
,VME,,
,WAM,,
,WFI,,
,WRC,,
,WFD,,
,WFP,,
,,,
